point_id,x,y,z,avg_error,img_a,img_b,img_a_row,img_a_col,img_b_row,img_b_col,angle_deg
1,-257.0730858350531,-92.06530627505602,405.77111534495475,4.373235915894712,1,2,108.82279968261719,655.2392578125,116.69463348388672,480.8940124511719,30.272668483839155
2,-254.82049103028695,-91.27855542182938,381.48758119103127,5.893369627413211,1,2,183.10821533203125,670.1355590820312,188.28257751464844,502.9587707519531,29.978294655397274
3,127.73508888457202,-158.99289734216003,427.1402438740341,3.2567727815043095,1,2,9.29302978515625,709.65771484375,18.07809066772461,822.1478271484375,16.301864457977093
4,-250.29527771703633,-67.8722967449125,407.05897888530546,3.1733854046341947,1,2,106.19029998779297,736.2070922851562,110.27167510986328,543.3926391601562,31.48982257183411
5,-250.29527771703633,-67.8722967449125,407.05897888530546,3.1733854046341947,1,2,106.19029998779297,736.2070922851562,110.27167510986328,543.3926391601562,31.48982257183411
6,-1989.9267724590761,238.44343085461924,850.9959601848371,4.579674101984784,1,2,300.2904357910156,800.602783203125,319.2973327636719,1325.4754638671875,8.41795780941277
7,-151.85988236484303,-65.25920239364746,345.37262560727373,4.607308971948688,1,2,230.40902709960938,802.478271484375,231.2880401611328,722.1626586914062,25.88214728825347
8,-150.48413960593373,-61.618693182035116,345.1249241731079,4.276386686118254,1,2,231.0738983154297,811.2708129882812,231.13633728027344,730.1482543945312,25.93334954110046
9,-166.14377815207695,-45.7493014864755,316.8616478887494,5.248359226214157,1,2,301.7713928222656,846.7152709960938,303.12139892578125,746.7156982421875,26.751544484302187
10,-163.78858465654167,-40.846418775731735,282.54620506122905,5.823480419736882,1,2,372.04443359375,861.8326416015625,372.2269287109375,765.1551513671875,26.18676862800637
11,-161.76265583430555,-41.119255862670144,273.8501790806263,5.735325207365923,1,2,388.2942199707031,862.592529296875,387.1112976074219,768.5098876953125,25.927630442467148
12,-165.87332131942702,-13.582702004096177,276.2298246588357,4.531847731294674,1,2,389.26141357421875,920.90625,390.489990234375,811.9036254882812,26.838883344432617
13,-165.8948995473589,-13.584083439090193,275.99855970801985,4.309369103819773,1,2,390.22259521484375,920.98046875,390.489990234375,811.9036254882812,26.837280672237945
14,-169.9806910560352,-13.142026758837119,285.8294085271941,4.258773834462293,1,2,373.3605651855469,921.2387084960938,374.1210021972656,806.9646606445312,27.252344368608433
15,-169.9806910560352,-13.142026758837119,285.8294085271941,4.258773834462293,1,2,373.3605651855469,921.2387084960938,374.1210021972656,806.9646606445312,27.252344368608433
16,-180.21635939424593,-8.714298857247258,302.4770317572378,3.620243657298282,1,2,346.9768981933594,929.950439453125,346.92059326171875,801.4297485351562,28.24006063602472
17,-163.96777167384846,-1.323033518940008,286.02494446509604,3.270872627304441,1,2,370.5677795410156,947.420654296875,370.824951171875,834.621337890625,27.210302835491472
18,-104.69683273650593,17.239130475523694,170.87192939251116,0.30443856213188747,1,2,530.1162109375,982.3502807617188,524.894775390625,924.12158203125,22.595850522912134
19,-60.07748036384993,26.433878790388142,25.51824107393421,4.444270463356872,1,2,674.9129028320312,990.8674926757812,687.0444946289062,965.481689453125,18.67908246870098
20,-95.60331465783048,22.707384937951275,264.077634121355,1.110418839296175,1,2,369.3717346191406,994.1511840820312,370.5138244628906,936.8589477539062,23.992062948216585
21,-102.34056057733487,25.986010008509993,319.29610588465323,0.9437923951629107,1,2,273.4112548828125,1003.24267578125,267.5184631347656,936.52001953125,25.10909480618491
22,57.45258110729978,41.40806643857564,39.19691255325766,0.07573476026027395,1,2,574.4995727539062,1006.6568603515625,583.8269653320312,1039.427001953125,16.595102141883935
23,-125.04020874044795,27.74325346666234,302.9800961582149,0.20229589922056493,1,2,316.3898620605469,1007.8310546875,314.2388610839844,922.0355224609375,25.991632449530652
24,-125.04020874044795,27.74325346666234,302.9800961582149,0.20229589922056493,1,2,316.3898620605469,1007.8310546875,314.2388610839844,922.0355224609375,25.991632449530652
25,55.17816443081489,43.955157610977025,68.18441684319163,0.37991229583864133,1,2,544.971923828125,1011.0303955078125,553.3884887695312,1043.34033203125,16.98100852707836
26,-25.52368378467264,33.796551200454985,315.38127238810176,0.1795179640167378,1,2,244.11392211914062,1011.379150390625,245.33316040039062,1002.1038818359375,21.933457054315298
27,-91.17548445332906,45.295812514736575,-66.18130227050845,5.100957359545319,1,2,803.10693359375,1016.0485229492188,822.038818359375,973.4484252929688,17.686804566840273
28,-97.65085092415491,46.960365221547974,-66.4185946489768,5.16911439732399,1,2,809.9868774414062,1018.8189086914062,829.498046875,972.3016357421875,17.795110439072626
29,-52.37820573542466,45.49943627710381,63.60028703077155,2.1815574284286328,1,2,626.7445678710938,1020.0164794921875,639.1470947265625,996.3978271484375,19.23308869579732
30,53.33006187720224,51.21342423591679,69.26265609498209,0.805247968052885,1,2,545.5233764648438,1020.6006469726562,554.6080932617188,1051.874755859375,17.03593275510703
31,-23.760793003380037,39.11095195864192,370.0969053990484,2.5646063441948566,1,2,146.1572723388672,1023.5040283203125,137.71258544921875,1015.0043334960938,22.263793616836484
32,52.864296747709226,54.973083133171855,64.07619941957117,1.0546506748746238,1,2,551.9144897460938,1025.289794921875,561.3861083984375,1056.1527099609375,16.985551773612556
33,-54.19134937133149,49.18456715477676,60.656120592406936,1.649710594612403,1,2,632.6074829101562,1025.5382080078125,644.5958862304688,1000.6009521484375,19.233971681716664
34,-71.80453840903674,52.74827173929432,30.48120707967994,2.5560344956547185,1,2,682.5880126953125,1030.554931640625,697.899658203125,995.600830078125,19.101677883429623
35,51.59649955987771,61.17681758459676,77.42855426560145,1.5819190664075626,1,2,538.4981689453125,1034.0992431640625,547.8944702148438,1064.5902099609375,17.168986201988666
36,52.0371732732546,61.80356444852275,62.00523044199769,1.5480028642268393,1,2,555.386474609375,1034.101806640625,565.3594970703125,1064.438720703125,16.97771370891049
37,-66.67478955183401,46.04612807119224,266.4439614687292,0.4625896508993461,1,2,350.3803405761719,1034.240478515625,352.332763671875,995.9264526367188,23.00423300764855
