point_id,x,y,z,avg_error,img_a,img_b,img_a_row,img_a_col,img_b_row,img_b_col,angle_deg
1,26.60113828691749,-691.8304828955434,44.77586654333635,0.12920460998890493,1,2,589.7379760742188,46.77921676635742,446.1907043457031,330.5846252441406,8.919415795080134
2,99.35540479181633,-712.55730312336,113.1231843157334,0.10471858648984303,1,2,467.25848388671875,55.20842361450195,355.3460998535156,357.9599609375,8.755322144771315
3,106.33061382444974,-713.6428423776509,116.15949861817643,0.14251769414822046,1,2,459.9637451171875,59.181026458740234,350.3549499511719,362.1836853027344,8.744544615537716
4,118.13010796062058,-714.3286915175813,123.7075471951078,0.16666494961894135,1,2,445.12579345703125,65.83885955810547,339.8674011230469,369.3350830078125,8.738959817524227
5,20.73427591542631,-679.246793117979,2.155387594941942,0.020309034769022717,1,2,639.916259765625,82.74365997314453,488.71343994140625,348.0473327636719,9.009008488217658
6,70.21888724991193,-693.9464677110393,52.145163633865536,0.0845918298968388,1,2,552.2249145507812,84.75125885009766,423.0436096191406,364.76654052734375,8.897807299271575
7,70.21888724991193,-693.9464677110393,52.145163633865536,0.0845918298968388,1,2,552.2249145507812,84.75125885009766,423.0436096191406,364.76654052734375,8.897807299271575
8,99.81195880653623,-703.2900999393866,81.73267308765583,0.15370409868045917,1,2,502.009033203125,85.38687896728516,385.2268371582031,374.1619567871094,8.82003892479565
9,99.81195880653623,-703.2900999393866,81.73267308765583,0.15370409868045917,1,2,502.009033203125,85.38687896728516,385.2268371582031,374.1619567871094,8.82003892479565
10,94.1626711455768,-695.7111568247724,57.2516605700381,0.02732661746343806,1,2,531.9284057617188,102.88273620605469,409.9057922363281,381.88629150390625,8.873504646825705
11,94.1626711455768,-695.7111568247724,57.2516605700381,0.02732661746343806,1,2,531.9284057617188,102.88273620605469,409.9057922363281,381.88629150390625,8.873504646825705
12,106.32168501354812,-695.5501788457079,58.304096545056666,0.026195764097250683,1,2,523.6370849609375,113.876953125,404.88232421875,391.5214538574219,8.868053781536307
13,297.21714102659786,-737.5524296923867,197.0769261696876,0.1821202373050755,1,2,292.5473937988281,159.65792846679688,230.6107940673828,469.0242004394531,8.386929409293797
14,297.21714102659786,-737.5524296923867,197.0769261696876,0.1821202373050755,1,2,292.5473937988281,159.65792846679688,230.6107940673828,469.0242004394531,8.386929409293797
15,301.6872361104578,-739.1675262768241,199.2263386784774,0.04589215031501569,1,2,289.06732177734375,160.46682739257812,227.69351196289062,470.49359130859375,8.368137320299175
16,155.8998215983005,-693.4048708877026,52.093693346557984,0.15964496642746634,1,2,502.11541748046875,162.6350860595703,394.8442687988281,432.69500732421875,8.831301466632425
17,155.8998215983005,-693.4048708877026,52.093693346557984,0.15964496642746634,1,2,502.11541748046875,162.6350860595703,394.8442687988281,432.69500732421875,8.831301466632425
18,168.58295126703442,-691.5579495663559,44.63427452232878,0.08561539178903418,1,2,503.1661682128906,178.46466064453125,397.24462890625,445.003173828125,8.821732624090869
19,285.2470199196089,-694.6996658991468,51.24070876086466,0.03420755837817313,1,2,442.22308349609375,255.4064178466797,358.7649841308594,518.8713989257812,8.595243634580228
20,390.53266701980647,-697.7417166411601,60.0036567315567,0.09329719505805811,1,2,394.660888671875,311.3820495605469,326.7150573730469,575.6957397460938,8.336340920748723
21,676.7714742481363,-739.2589490865824,201.85954515896609,0.17497902888417144,1,2,206.04122924804688,372.94989013671875,174.24945068359375,668.6626586914062,7.4615083305926495
22,676.7714742481363,-739.2589490865824,201.85954515896609,0.17497902888417144,1,2,206.04122924804688,372.94989013671875,174.24945068359375,668.6626586914062,7.4615083305926495
23,685.0195608702263,-740.1250449720719,204.0639517543968,0.027904264036984552,1,2,202.82887268066406,375.1409606933594,171.87098693847656,671.3903198242188,7.436206680671161
24,547.4241755061614,-696.6334472936617,57.34984892214709,0.24078997841013178,1,2,349.69683837890625,387.9073791503906,297.0664978027344,652.888916015625,7.909308300830921
25,740.5876952406708,-695.7906214739793,51.35429983352577,0.017548718170402395,1,2,308.3661804199219,460.738037109375,269.4432373046875,730.266357421875,7.343810855258965
26,740.5876952406708,-695.7906214739793,51.35429983352577,0.017548718170402395,1,2,308.3661804199219,460.738037109375,269.4432373046875,730.266357421875,7.343810855258965
27,1004.106360233392,-714.5089386239353,116.0042452588176,0.008588651938173928,1,2,220.8914337158203,512.4188842773438,197.0193328857422,800.4169311523438,6.597918759874354
28,949.4746641563892,-692.8985714058663,52.30235996705636,0.22855158789107846,1,2,269.3675537109375,521.4524536132812,241.11337280273438,798.4185180664062,6.761885661756669
29,949.4746641563892,-692.8985714058663,52.30235996705636,0.22855158789107846,1,2,269.3675537109375,521.4524536132812,241.11337280273438,798.4185180664062,6.761885661756669
30,1058.6639356299158,-697.6119589063318,49.615990830539715,0.11917599010676891,1,2,254.62844848632812,544.5802001953125,229.6293182373047,826.1541748046875,6.456529246277629
31,1645.6962675998036,-700.6630697188392,48.66469187649972,0.22386431139854207,1,2,190.87770080566406,642.2387084960938,178.94882202148438,946.073974609375,5.151795446947517
32,1932.387826935163,-696.5570338753407,50.2469903961026,0.004617438474741664,1,2,168.6538543701172,676.8790283203125,160.59107971191406,990.1334838867188,4.665948618906737
33,1932.387826935163,-696.5570338753407,50.2469903961026,0.004617438474741664,1,2,168.6538543701172,676.8790283203125,160.59107971191406,990.1334838867188,4.665948618906737
34,2778.1594307635946,-703.3656280753338,46.31598778183621,0.4524809235657146,1,2,126.94650268554688,741.449462890625,124.04874420166016,1077.38525390625,3.6060001269089366
35,-123.21749484417983,-101.3530713220168,229.56805190987436,0.35492873626728544,1,2,450.8887023925781,761.0253295898438,413.4823913574219,721.8442993164062,22.264723833027862
36,-125.80451891091839,-112.1130577745942,44.8406531417029,0.06883354782400833,1,2,722.7559204101562,773.6698608398438,666.4019165039062,740.052490234375,18.98667528973047
37,119.13650517984806,-114.14245421393974,257.8980020664682,0.054107898516881164,1,2,277.5870666503906,798.7241821289062,263.9359436035156,883.270751953125,16.46799030790443
38,118.53731634043712,-113.84624386280909,258.0372143120788,0.028072357018819924,1,2,277.6489562988281,798.9964599609375,263.9359436035156,883.270751953125,16.482965651774666
39,-129.50168955027922,-81.81065256724692,0.6158340494106795,0.04198467791388043,1,2,779.4854736328125,826.3643188476562,731.1278076171875,782.0956420898438,18.704399345648284
40,25.0752127528706,-74.32729358205111,250.1212469398949,0.08063758514761973,1,2,327.6480712890625,839.75244140625,312.80828857421875,875.996826171875,18.882543900852284
