point_id,x,y,z,avg_error,track_len
1109,0.5522421460639215,-0.16453118665099797,1.592656559987038,0.10259191420582336,4
1108,0.5346485685569027,-0.1776539750616624,1.7901723347997343,0.2806282854069219,4
1107,0.5434375482681912,-0.1769308425360161,1.7078283235234089,0.21426620604769528,3
1106,5.565736859721316,-0.9946052722055087,10.345334271317686,0.03690341404962872,3
1105,5.870526519080476,-1.037167497494666,10.274491948330104,0.2643465886353658,3
1103,10.710584294125628,-1.7505805951623328,8.910233153410443,0.14059962892322098,4
1102,5.884960954894014,-1.7174302468093299,11.40468072131739,0.37427449568087745,3
1101,0.6984547699475271,-0.4613664294905345,1.639839987553177,0.5894689645720843,5
1100,17.025682150259733,-2.3502736417070516,6.644927271069831,0.1450133702864044,3
1099,0.5751708840542087,0.4035321869682237,1.431703821989343,0.2280376780246427,3
1098,0.6633859901463429,0.40797761270078714,1.3758333885579506,0.17797776794986533,3
1097,0.6278053031354683,0.39122083222416226,1.3891199861317396,0.048966920565785166,3
1096,0.6595621081143148,0.3855110843916677,1.3522275814937095,0.37656661388215773,3
1095,0.6075956626536229,0.2943748011054036,1.3746263590049455,0.1486318616533613,3
1094,0.6354956700925783,0.15875480152673824,1.3716981777969128,0.05129564672631661,3
1093,0.5419001779092534,0.11937595817326711,1.544221034961647,0.04142032616143107,4
1092,17.956522998132737,0.8291367905987668,0.7979535829181994,0.38029495609717145,5
1091,12.545984743980249,0.4512841483891501,4.251570613243313,0.12357908941658308,4
1090,12.545984743980249,0.4512841483891501,4.251570613243313,0.12357908941658308,4
1089,13.077083466444176,0.44482588903754183,3.983978615015054,0.09185581541947031,4
1088,0.5895136490239639,0.09978648305609805,1.4735423764857978,0.017191314285802724,3
1087,0.5895136490239639,0.09978648305609805,1.4735423764857978,0.017191314285802724,3
1086,0.6334576164376168,0.10326021252684607,1.4084281812604802,0.035208503761269404,3
1085,0.569022244534531,0.09288104498671253,1.5070067538820908,0.35937885909960543,5
1084,0.5812095344143926,0.09393606489445239,1.4815404982499543,0.1998667801374605,4
1083,16.621065477610372,0.5659871283631409,1.9085233974318578,0.20035390789920474,3
1082,17.380784614274223,0.5776140363267039,1.516508682205253,0.18649683776064935,4
1081,18.584830391181328,0.6213106550134707,0.7931674632810697,0.28794901041968224,4
1080,16.041240618679865,0.48273895707989745,2.3583995967893037,0.23858623004108617,4
1079,16.68893124988324,0.5076909909247951,1.9910988600673765,0.26340249155273576,5
1078,18.88320810956073,0.5631145254839052,0.7850911761661914,0.4353184304012655,5
1077,20.553828116779435,0.644509864196004,-0.290337559171617,0.31593313588810973,3
1074,23.404010562760106,0.7000984189957493,-1.833918744251939,0.31994098358327533,5
1068,12.473959715941252,0.043057128049640625,4.971730984130762,0.4322824842591582,3
1067,18.351271845692125,0.22708687152992624,1.5912676080815562,0.18278483801266146,5
1066,23.10029241011206,0.36563643553533887,-1.133196869753014,0.22427504155630515,5
