point_id,x,y,z,avg_error,img_a,img_b,img_a_row,img_a_col,img_b_row,img_b_col,angle_deg
1,-995.9756550246346,-1090.9931991405638,456.33962940688957,0.08859076087013985,1,2,237.9087677001953,2.996169328689575,253.22064208984375,106.4154052734375,9.818832280319178
2,-889.1328827146416,-1285.0102678446356,750.2847410554142,0.1978402888575998,1,2,26.881376266479492,17.38084602355957,75.13318634033203,149.11947631835938,8.91453876477287
3,-894.5040446355493,-1235.9715663313707,672.7042764226176,0.14716558766314733,1,2,82.41776275634766,36.09147262573242,121.23563385009766,157.10244750976562,9.18413420034804
4,-920.6853558695683,-1293.159788239605,357.2867065027893,1.7316800136685795,1,2,320.9727478027344,41.59061813354492,325.2762145996094,165.4374237060547,8.919747978313707
5,-1068.5762623210937,-859.576811695182,58.57502743734673,0.5008871828897412,1,2,589.7542114257812,56.650482177734375,550.6133422851562,105.69081115722656,11.075920531274013
6,-919.4713359191198,-1114.9634126930362,495.6210347448633,0.07314284364394173,1,2,212.19085693359375,70.32644653320312,230.4498748779297,166.4740753173828,9.861012467606846
7,-980.8617128861241,-964.9190447814775,269.82013000645463,0.0887520949450554,1,2,393.5765075683594,85.95275115966797,384.9796447753906,152.9002227783203,10.684720534817043
8,-949.792735719337,-1020.6278628274047,353.66789528299785,0.24370598887749495,1,2,323.17596435546875,88.36451721191406,325.2762145996094,165.4374237060547,10.397651735064196
9,-950.2144142711759,-1016.6600537770195,353.2771199288194,0.11604298209803895,1,2,323.7660217285156,89.24529266357422,325.2762145996094,165.4374237060547,10.422768543742018
10,-1021.7087995515928,-883.2360613782914,88.17013015697367,0.4833270767115271,1,2,553.8623657226562,96.6804428100586,521.6469116210938,145.20762634277344,11.083833509276088
11,-1794.5674658973444,1650.709441284507,65.49867374929988,0.36786018070128124,1,2,8.768595695495605,110.76315307617188,55.94508361816406,833.0958862304688,18.499933911414924
12,-761.7782394208457,-1325.0010661138374,809.236521197308,0.05211776360292905,1,2,11.068952560424805,115.52967834472656,56.32780456542969,235.6162567138672,8.87863145157343
